p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0	6	6	6	6	0	1	1	1	1
2e-05	6	6	6	6	0	0.998333	1	0.999306	1
4e-05	6	6	6	6	0	0.998194	1	1	1
6e-05	6	6	6	6	0	0.996528	1	0.998889	1
8e-05	6	6	6	6	0	0.995	1	0.998472	1
0.0001	6	6	6	6	0	0.995556	1	0.997778	1
0.00012	6	6	6	6	0	0.993056	1	0.997222	1
0.00014	6	6	6	6	0	0.994722	1	0.998056	1
0.00016	6	6	6	6	0	0.992222	1	0.998056	1
0.00018	6	6	6	6	0	0.992222	1	0.997917	1
0.0002	6	6	6	6	0	0.989861	1	0.997778	1
0.00022	6	6	6	6	0	0.989722	1	0.996667	1
0.00024	6	6	6	6	0	0.987778	1	0.995833	1
0.00026	6	6	6	6	0	0.987917	1	0.996111	1
0.00028	6	6	6	6	0	0.985417	1	0.995833	1
0.0003	6	6	6	6	0	0.986944	1	0.996111	1
0.00032	6	6	6	6	0	0.984861	1	0.996528	1
0.00034	6	6	6	6	0	0.984722	1	0.995278	1
0.00036	6	6	6	6	0	0.981528	1	0.99375	1
0.00038	6	6	6	6	0	0.982361	1	0.994583	1
0.0004	6	6	6	6	0	0.981806	1	0.994444	1
0.00042	6	6	6	6	0	0.981528	1	0.992917	0.999999
0.00044	6	6	6	6	0	0.9775	1	0.993333	1
0.00046	6	6	6	6	0	0.975417	1	0.990694	1
0.00048	6	6	6	6	0	0.9775	1	0.991667	1
0.0005	6	6	6	6	0	0.977639	1	0.991389	1
0.00052	6	6	6	6	0	0.978611	1	0.991944	1
0.00054	6	6	6	6	0	0.973194	1	0.992083	1
0.00056	6	6	6	6	0	0.972222	1	0.989722	1
0.00058	6	6	6	6	0	0.971389	1	0.990556	1
0.0006	6	6	6	6	0	0.970278	1	0.988333	1
0.00062	6	6	6	6	0	0.972917	1	0.991667	1
0.00064	6	6	6	6	0	0.971667	0.999999	0.990278	1
0.00066	6	6	6	6	0	0.967639	1	0.989722	1
0.00068	6	6	6	6	0	0.968194	1	0.990972	1
0.0007	6	6	6	6	0	0.968056	1	0.989583	1
0.00072	6	6	6	6	0	0.965	1	0.989583	1
0.00074	6	6	6	6	0	0.964861	1	0.988611	1
0.00076	6	6	6	6	0	0.965139	1	0.989306	1
0.00078	6	6	6	6	0	0.960556	1	0.986806	1
0.0008	6	6	6	6	0	0.963611	1	0.98875	1
0.00082	6	6	6	6	0	0.96125	1	0.986667	1
0.00084	6	6	6	6	0	0.959861	1	0.986528	1
0.00086	6	6	6	6	0	0.957778	1	0.986111	1
0.00088	6	6	6	6	0	0.957361	1	0.986111	1
0.0009	6	6	6	6	0	0.958194	1	0.987917	1
0.00092	6	6	6	6	0	0.953889	1	0.985278	1
0.00094	6	6	6	6	0	0.950972	1	0.983333	1
0.00096	6	6	6	6	0	0.953611	1	0.987222	1
0.00098	6	6	6	6	0	0.957917	1	0.986944	1
0.001	6	6	6	6	0	0.950139	1	0.984583	1
0.00102	6	6	6	6	0	0.952083	1	0.984028	1
0.00104	6	6	6	6	0	0.955139	1	0.98625	1
0.00106	6	6	6	6	0	0.951111	1	0.983472	1
0.00108	6	6	6	6	0	0.953472	1	0.985	1
0.0011	6	6	6	6	0	0.94625	1	0.982222	1
0.00112	6	6	6	6	0	0.948056	1	0.986667	1
0.00114	6	6	6	6	0	0.945972	1	0.983333	1
0.00116	6	6	6	6	0	0.941111	1	0.979861	1
0.00118	6	6	6	6	0	0.940694	1	0.980972	1
0.0012	6	6	6	6	0	0.948611	1	0.982778	1
0.00122	6	6	6	6	0	0.944722	1	0.982083	1
0.00124	6	6	6	6	0	0.943333	1	0.982778	1
0.00126	6	6	6	6	0	0.940556	1	0.983472	1
0.00128	6	6	6	6	0	0.939028	1	0.980833	1
0.0013	6	6	6	6	0	0.935417	1	0.980139	0.999999
0.00132	6	6	6	6	0	0.940278	1	0.980139	1
0.00134	6	6	6	6	0	0.937222	1	0.977639	1
0.00136	6	6	6	6	0	0.936528	1	0.978611	1
0.00138	6	6	6	6	0	0.939306	1	0.980278	1
0.0014	6	6	6	6	0	0.938611	1	0.981806	1
0.00142	6	6	6	6	0	0.936389	1	0.979722	1
0.00144	6	6	6	6	0	0.93	1	0.977639	1
0.00146	6	6	6	6	0	0.930417	1	0.977639	1
0.00148	6	6	6	6	0	0.933611	1	0.977778	0.999999
0.0015	6	6	6	6	0	0.934722	1	0.979444	1
0.00152	6	6	6	6	0	0.932083	1	0.975833	1
0.00154	6	6	6	6	0	0.932222	1	0.979028	1
0.00156	6	6	6	6	0	0.927083	1	0.974583	1
0.00158	6	6	6	6	0	0.926806	1	0.977361	1
0.0016	6	6	6	6	0	0.929444	1	0.977778	1
0.00162	6	6	6	6	0	0.925694	1	0.97375	1
0.00164	6	6	6	6	0	0.924028	1	0.97125	1
0.00166	6	6	6	6	0	0.916944	1	0.973194	1
