p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0	6	6	6	6	0	1	1	1	1
2e-05	6	6	6	6	0	0.999306	1	0.999861	1
4e-05	6	6	6	6	0	0.998194	1	0.999444	1
6e-05	6	6	6	6	0	0.998333	1	0.999167	1
8e-05	6	6	6	6	0	0.996944	1	0.999028	1
0.0001	6	6	6	6	0	0.995556	1	0.998194	1
0.00012	6	6	6	6	0	0.995417	1	0.998889	1
0.00014	6	6	6	6	0	0.993611	1	0.998194	1
0.00016	6	6	6	6	0	0.993472	1	0.997639	1
0.00018	6	6	6	6	0	0.989444	1	0.997083	1
0.0002	6	6	6	6	0	0.989167	1	0.9975	1
0.00022	6	6	6	6	0	0.989722	1	0.99625	1
0.00024	6	6	6	6	0	0.989306	1	0.996806	1
0.00026	6	6	6	6	0	0.986667	1	0.995556	1
0.00028	6	6	6	6	0	0.987222	1	0.996111	1
0.0003	6	6	6	6	0	0.985278	1	0.995556	1
0.00032	6	6	6	6	0	0.984167	1	0.994722	1
0.00034	6	6	6	6	0	0.984306	0.999999	0.99625	1
0.00036	6	6	6	6	0	0.980972	1	0.993472	1
0.00038	6	6	6	6	0	0.98125	1	0.993333	1
0.0004	6	6	6	6	0	0.979861	1	0.993889	1
0.00042	6	6	6	6	0	0.982222	1	0.993333	1
0.00044	6	6	6	6	0	0.9775	1	0.993333	1
0.00046	6	6	6	6	0	0.980833	0.999999	0.993611	1
0.00048	6	6	6	6	0	0.97875	1	0.993056	1
0.0005	6	6	6	6	0	0.974444	1	0.992778	1
0.00052	6	6	6	6	0	0.976528	0.999999	0.993333	1
0.00054	6	6	6	6	0	0.972083	1	0.990694	1
0.00056	6	6	6	6	0	0.970417	1	0.989444	1
0.00058	6	6	6	6	0	0.974306	1	0.992361	1
0.0006	6	6	6	6	0	0.972639	1	0.991528	1
0.00062	6	6	6	6	0	0.970556	1	0.991944	1
0.00064	6	6	6	6	0	0.966389	1	0.990694	1
0.00066	6	6	6	6	0	0.97	1	0.989444	0.999999
0.00068	6	6	6	6	0	0.964306	1	0.987778	1
0.0007	6	6	6	6	0	0.970278	1	0.989444	1
0.00072	6	6	6	6	0	0.96125	1	0.986389	1
0.00074	6	6	6	6	0	0.961111	1	0.987361	1
0.00076	6	6	6	6	0	0.965417	1	0.988611	1
0.00078	6	6	6	6	0	0.964861	1	0.989583	1
0.0008	6	6	6	6	0	0.961111	1	0.985972	0.999999
0.00082	6	6	6	6	0	0.961944	1	0.988333	1
0.00084	6	6	6	6	0	0.960417	1	0.988056	1
0.00086	6	6	6	6	0	0.960139	1	0.988056	1
0.00088	6	6	6	6	0	0.957222	1	0.98375	1
0.0009	6	6	6	6	0	0.954722	1	0.987083	1
0.00092	6	6	6	6	0	0.952917	1	0.983472	1
0.00094	6	6	6	6	0	0.956389	1	0.986389	1
0.00096	6	6	6	6	0	0.9575	1	0.986389	1
0.00098	6	6	6	6	0	0.95625	1	0.986944	1
0.001	6	6	6	6	0	0.950833	1	0.984722	1
0.00102	6	6	6	6	0	0.951528	1	0.984167	1
0.00104	6	6	6	6	0	0.945278	1	0.983611	1
0.00106	6	6	6	6	0	0.951111	1	0.983333	1
0.00108	6	6	6	6	0	0.9525	1	0.986944	1
0.0011	6	6	6	6	0	0.94875	1	0.985972	1
0.00112	6	6	6	6	0	0.943056	1	0.980972	1
0.00114	6	6	6	6	0	0.945694	1	0.983333	1
0.00116	6	6	6	6	0	0.944028	1	0.982639	1
0.00118	6	6	6	6	0	0.941667	1	0.982222	1
0.0012	6	6	6	6	0	0.940833	1	0.980694	1
0.00122	6	6	6	6	0	0.93875	1	0.981528	1
0.00124	6	6	6	6	0	0.939028	1	0.978889	1
0.00126	6	6	6	6	0	0.937639	1	0.978611	1
0.00128	6	6	6	6	0	0.942083	1	0.98125	1
0.0013	6	6	6	6	0	0.93875	1	0.980972	1
0.00132	6	6	6	6	0	0.938194	1	0.981667	1
0.00134	6	6	6	6	0	0.934028	1	0.978333	0.999998
0.00136	6	6	6	6	0	0.938889	1	0.979861	1
0.00138	6	6	6	6	0	0.93375	1	0.981111	1
0.0014	6	6	6	6	0	0.936806	1	0.978611	1
0.00142	6	6	6	6	0	0.932222	1	0.977361	0.999999
0.00144	6	6	6	6	0	0.933333	1	0.978056	1
0.00146	6	6	6	6	0	0.935	1	0.98	1
0.00148	6	6	6	6	0	0.930833	1	0.977222	1
0.0015	6	6	6	6	0	0.928889	1	0.978056	1
0.00152	6	6	6	6	0	0.9275	1	0.97875	1
0.00154	6	6	6	6	0	0.925833	1	0.978056	1
0.00156	6	6	6	6	0	0.928056	1	0.977917	1
0.00158	6	6	6	6	0	0.922917	1	0.977917	1
0.0016	6	6	6	6	0	0.927083	1	0.976944	1
0.00162	6	6	6	6	0	0.924167	1	0.975278	1
0.00164	6	6	6	6	0	0.922639	1	0.974167	1
0.00166	6	6	6	6	0	0.923472	1	0.973611	1
0.00168	6	6	6	6	0	0.925972	1	0.976806	0.999999
0.0017	6	6	6	6	0	0.920139	1	0.975833	1
0.00172	6	6	6	6	0	0.915833	1	0.971389	1
0.00174	6	6	6	6	0	0.919167	1	0.976806	1
0.00176	6	6	6	6	0	0.916111	1	0.973333	1
0.00178	6	6	6	6	0	0.911111	1	0.973472	1
0.0018	6	6	6	6	0	0.915	1	0.971806	0.999998
0.00182	6	6	6	6	0	0.917222	1	0.974583	1
0.00184	6	6	6	6	0	0.913333	1	0.972778	1
0.00186	6	6	6	6	0	0.916528	1	0.975	1
0.00188	6	6	6	6	0	0.91625	1	0.97375	1
0.0019	6	6	6	6	0	0.910278	1	0.970694	1
0.00192	6	6	6	6	0	0.913333	1	0.969306	1
0.00194	6	6	6	6	0	0.908889	1	0.969167	1
0.00196	6	6	6	6	0	0.917778	1	0.973889	1
0.00198	6	6	6	6	0	0.915	1	0.973472	1
0.002	6	6	6	6	0	0.90625	1	0.970556	1
0.00202	6	6	6	6	0	0.9025	1	0.970694	1
0.00204	6	6	6	6	0	0.898056	1	0.96625	1
0.00206	6	6	6	6	0	0.899583	1	0.970139	1
0.00208	6	6	6	6	0	0.903472	1	0.970972	1
0.0021	6	6	6	6	0	0.902639	1	0.968333	1
0.00212	6	6	6	6	0	0.896111	1	0.965278	1
0.00214	6	6	6	6	0	0.898194	1	0.968472	1
0.00216	6	6	6	6	0	0.901806	1	0.969167	1
0.00218	6	6	6	6	0	0.895972	1	0.9675	1
0.0022	6	6	6	6	0	0.898056	1	0.970139	1
0.00222	6	6	6	6	0	0.891389	1	0.96625	1
0.00224	6	6	6	6	0	0.895972	1	0.9675	1
0.00226	6	6	6	6	0	0.888611	1	0.966528	1
0.00228	6	6	6	6	0	0.894444	1	0.966111	1
0.0023	6	6	6	6	0	0.893472	1	0.964583	1
0.00232	6	6	6	6	0	0.899722	1	0.968472	1
0.00234	6	6	6	6	0	0.89125	1	0.966111	1
0.00236	6	6	6	6	0	0.889722	1	0.963472	1
0.00238	6	6	6	6	0	0.883333	1	0.964583	1
0.0024	6	6	6	6	0	0.891389	1	0.964306	1
0.00242	6	6	6	6	0	0.895556	1	0.965556	1
0.00244	6	6	6	6	0	0.888472	1	0.962639	1
0.00246	6	6	6	6	0	0.883333	1	0.964167	1
0.00248	6	6	6	6	0	0.889583	1	0.965833	1
0.0025	6	6	6	6	0	0.883472	1	0.966667	1
0.00252	6	6	6	6	0	0.887361	1	0.964306	1
0.00254	6	6	6	6	0	0.883472	1	0.964722	1
