p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0	14	14	14	14	0	1	1	1	1
2e-05	14	42	14.0233	14	0.807954	1	1	1	1
4e-05	14	42	14.0467	14	1.14214	1	1	1	1
6e-05	14	70	14.0817	14	1.58044	1	1	1	1
8e-05	14	42	14.0583	14	1.27669	1	1	1	1
0.0001	14	42	14.1206	14	1.83331	1	1	1	1
0.00012	14	42	14.105	14	1.71142	1	1	1	1
0.00014	14	42	14.2139	14	2.43786	1	1	1	1
0.00016	14	42	14.2022	14	2.37093	1	1	1	1
0.00018	14	42	14.245	14	2.60768	1	1	1	1
0.0002	14	70	14.2528	14	2.68917	1	1	1	1
0.00022	14	70	14.3383	14	3.09461	1	1	1	1
0.00024	14	70	14.2994	14	2.99134	1	1	1	1
0.00026	14	70	14.3072	14	2.99055	1	1	1	1
0.00028	14	42	14.3578	14	3.1448	1	1	1	1
0.0003	14	70	14.3772	14	3.29477	1	1	1	1
0.00032	14	70	14.4706	14	3.68883	1	1	1	1
0.00034	14	70	14.4511	14	3.58653	1	1	1	1
0.00036	14	70	14.4822	14	3.67253	1	1	1	1
0.00038	14	70	14.5794	14	4.01329	1	1	1	1
0.0004	14	70	14.6494	14	4.31669	1	1	1	1
0.00042	14	70	14.595	14	4.17072	1	1	1	1
0.00044	14	70	14.6689	14	4.35141	1	1	1	1
0.00046	14	70	14.665	14	4.31432	1	1	1	1
0.00048	14	70	14.6533	14	4.27809	1	1	1	1
0.0005	14	70	14.6533	14	4.30347	1	1	1	1
0.00052	14	70	14.7117	14	4.48035	1	1	1	1
0.00054	14	70	14.7389	14	4.56029	1	1	1	1
0.00056	14	70	14.8011	14	4.71433	1	1	1	1
0.00058	14	70	14.7972	14	4.81779	1	1	1	1
0.0006	14	70	14.8128	14	4.83775	1	1	1	1
0.00062	14	70	14.8711	14	4.99389	1	1	1	1
0.00064	14	70	14.8206	14	4.8589	1	1	1	1
0.00066	14	98	15.0578	14	5.6746	1	1	1	1
0.00068	14	98	14.9956	14	5.47113	1	1	1	1
0.0007	14	70	14.9722	14	5.27271	1	1	1	1
0.00072	14	70	15.0656	14	5.59584	1	1	1	1
0.00074	14	70	15.0617	14	5.56732	1	1	1	1
0.00076	14	70	15.0306	14	5.51424	1	1	1	1
0.00078	14	70	15.12	14	5.68185	1	1	1	1
0.0008	14	70	15.05	14	5.42092	1	1	1	1
0.00082	14	70	15.0267	14	5.40528	1	1	1	1
0.00084	14	98	15.2367	14	6.01217	1	1	1	1
0.00086	14	70	15.1394	14	5.91284	1	1	1	1
0.00088	14	126	15.2406	14	6.03848	1	1	1	1
0.0009	14	98	15.225	14	6.02361	1	1	1	1
0.00092	14	98	15.3222	14	6.34688	1	1	1	1
0.00094	14	98	15.3144	14	6.20976	1	1	1	1
0.00096	14	98	15.2561	14	6.12481	1	1	1	1
0.00098	14	70	15.3378	14	6.1519	1	1	1	1
0.001	14	98	15.3456	14	6.35912	1	1	1	1
0.00102	14	70	15.4233	14	6.44435	1	1	1	1
0.00104	14	70	15.4156	14	6.39519	1	1	1	1
0.00106	14	98	15.4739	14	6.62478	1	1	1	1
0.00108	14	70	15.435	14	6.48389	1	1	1	1
0.0011	14	98	15.61	14	6.78029	1	1	1	1
0.00112	14	98	15.4194	14	6.45365	1	1	1	1
0.00114	14	98	15.575	14	6.79652	1	1	1	1
0.00116	14	98	15.5633	14	6.71055	1	1	1	1
0.00118	14	98	15.575	14	6.71594	1	1	1	1
0.0012	14	70	15.6567	14	6.97503	1	1	1	1
0.00122	14	70	15.7189	14	7.08401	1	1	1	1
0.00124	14	70	15.5983	14	6.88661	1	1	1	1
0.00126	14	70	15.6878	14	6.96756	1	1	1	1
0.00128	14	98	15.8433	14	7.41394	1	1	1	1
0.0013	14	126	15.8083	14	7.42989	1	1	1	1
0.00132	14	98	15.8239	14	7.263	1	1	1	1
0.00134	14	126	15.8822	14	7.44816	1	1	1	1
0.00136	14	98	15.9794	14	7.63265	1	1	1	1
0.00138	14	98	16.0689	14	7.89682	1	1	1	1
0.0014	14	98	16.065	14	7.79374	1	1	1	1
0.00142	14	98	15.8511	14	7.32333	1	1	1	1
0.00144	14	126	15.9056	14	7.61577	1	1	1	1
0.00146	14	98	15.9794	14	7.75998	1	1	1	1
0.00148	14	70	16.0378	14	7.79392	1	1	1	1
0.0015	14	98	16.1856	14	8.15087	1	1	1	1
0.00152	14	98	16.1544	14	8.02458	1	1	1	1
0.00154	14	98	16.2128	14	8.11002	1	1	1	1
0.00156	14	126	15.995	14	7.756	1	1	1	1
0.00158	14	98	16.1428	14	8.1288	1	1	1	1
0.0016	14	98	16.3139	14	8.33382	1	1	1	1
0.00162	14	98	16.2244	14	8.20695	1	1	1	1
0.00164	14	126	16.3022	14	8.47308	1	1	1	1
0.00166	14	98	16.3722	14	8.41502	1	1	1	1
0.00168	14	98	16.2867	14	8.41282	1	1	1	1
0.0017	14	126	16.38	14	8.63005	1	1	1	1
0.00172	14	98	16.4811	14	8.538	1	1	1	1
0.00174	14	98	16.5744	14	8.84904	1	1	1	1
0.00176	14	126	16.5239	14	8.72117	1	1	1	1
0.00178	14	98	16.4228	14	8.62446	1	1	1	1
0.0018	14	126	16.5122	14	8.80529	1	1	1	1
0.00182	14	126	16.6483	14	8.9558	1	1	1	1
0.00184	14	98	16.555	14	8.58621	1	1	1	1
0.00186	14	98	16.5122	14	8.59249	1	1	1	1
0.00188	14	140	16.6697	14	9.22062	0.999861	1	1	1
0.0019	14	98	16.6444	14	8.93869	1	1	1	1
0.00192	14	98	16.7339	14	9.25342	1	1	1	1
0.00194	14	126	16.9244	14	9.56073	1	1	1	1
0.00196	14	98	16.7183	14	9.03177	1	1	1	1
0.00198	14	98	16.8661	14	9.49274	1	1	1	1
0.002	14	98	16.7494	14	9.10644	1	1	1	1
0.00202	14	98	17.0061	14	9.59797	1	1	1	1
0.00204	14	126	16.9011	14	9.38398	1	1	1	1
0.00206	14	98	16.8817	14	9.31429	1	1	1	1
0.00208	14	98	17.0333	14	9.59508	1	1	1	1
0.0021	14	126	16.9361	14	9.89856	1	1	1	1
0.00212	14	98	17.0994	14	9.7932	1	1	1	1
0.00214	14	98	16.9672	14	9.3225	1	1	1	1
0.00216	14	126	17.1694	14	9.96935	1	1	1	1
0.00218	14	98	16.975	14	9.528	1	1	1	1
0.0022	14	98	16.9672	14	9.47312	1	1	1	1
0.00222	14	98	16.7689	14	9.0345	1	1	1	1
0.00224	14	98	17.0489	14	9.73663	1	1	1	1
0.00226	14	98	17.2978	14	10.1928	1	1	1	1
0.00228	14	98	17.1461	14	9.92202	1	1	1	1
0.0023	14	140	17.2258	14	10.1476	0.999861	1	1	1
0.00232	14	126	17.3289	14	10.1506	1	1	1	1
0.00234	14	98	17.4494	14	10.3707	1	1	1	1
0.00236	14	98	17.2083	14	10.0006	1	1	1	1
0.00238	14	126	17.5233	14	10.6006	1	1	1	1
0.0024	14	126	17.3833	14	10.2075	1	1	1	1
0.00242	14	98	17.4456	14	10.3458	1	1	1	1
0.00244	14	98	17.3989	14	10.2662	1	1	1	1
0.00246	14	126	17.5972	14	10.4879	1	1	1	1
0.00248	14	126	17.5039	14	10.5194	1	1	1	1
0.0025	14	126	17.4456	14	10.3668	1	1	1	1
0.00252	14	126	17.6361	14	10.5676	1	1	1	1
0.00254	14	126	17.7178	14	10.7691	1	1	1	1
0.00256	14	126	17.6672	14	10.7104	1	1	1	1
0.00258	14	98	17.885	14	11.1336	1	1	1	1
0.0026	14	98	17.6167	14	10.5382	1	1	1	1
0.00262	14	126	17.5972	14	10.7139	1	1	1	1
0.00264	14	126	18.0483	14	11.4047	1	1	1	1
0.00266	14	126	17.675	14	10.6874	1	1	1	1
0.00268	14	126	17.815	14	11.1773	1	1	1	1
0.0027	14	126	17.9317	14	11.127	1	1	1	1
0.00272	14	140	17.9122	14	10.949	0.999722	1	1	1
0.00274	14	140	18.1553	14	11.7211	0.999861	1	1	1
0.00276	14	98	17.9317	14	11.0189	1	1	1	1
0.00278	14	126	17.99	14	11.3151	1	1	1	1
0.0028	14	126	17.815	14	11.1285	1	1	1	1
0.00282	14	126	18.3478	14	11.7892	1	1	1	1
0.00284	14	126	18.1494	14	11.7266	1	1	1	1
0.00286	14	126	17.8344	14	11.0481	1	1	1	1
0.00288	14	126	18.3828	14	11.9187	1	1	1	1
0.0029	14	126	18.1533	14	11.5333	1	1	1	1
0.00292	14	126	18.1183	14	11.3412	1	1	1	1
0.00294	14	140	18.4158	14	12.0169	0.999861	1	1	1
0.00296	14	126	18.5889	14	12.2788	1	1	1	1
0.00298	14	140	18.2914	14	11.6392	0.999861	1	1	1
0.003	14	98	18.4606	14	11.9081	1	1	1	1
0.00302	14	126	18.3322	14	12.0687	1	1	1	1
0.00304	14	126	18.2583	14	11.5752	1	1	1	1
0.00306	14	140	18.5131	14	12.2459	0.999861	1	1	1
0.00308	14	140	18.5053	14	12.1774	0.999861	1	1	1
0.0031	14	126	18.5189	14	11.8724	1	1	1	1
0.00312	14	126	18.4294	14	11.8004	1	1	1	1
0.00314	14	126	18.5694	14	12.0127	1	1	1	1
0.00316	14	98	18.795	14	12.4165	1	1	1	1
0.00318	14	126	18.76	14	12.3553	1	1	1	1
0.0032	14	126	18.5811	14	12.3788	1	1	1	1
0.00322	14	126	18.69	14	12.2672	1	1	1	1
0.00324	14	126	18.7561	14	12.4752	1	1	1	1
0.00326	14	126	18.7211	14	12.3702	1	1	1	1
0.00328	14	126	18.6861	14	12.3791	1	1	1	1
0.0033	14	126	19.0361	14	12.9246	1	1	1	1
0.00332	14	126	18.7483	14	12.5217	1	1	1	1
0.00334	14	126	19.0517	14	12.6631	1	1	1	1
0.00336	14	126	18.7444	14	12.326	1	1	1	1
0.00338	14	126	18.8339	14	12.5411	1	1	1	1
0.0034	14	126	18.8689	14	12.6185	1	1	1	1
0.00342	14	126	18.8456	14	12.4364	1	1	1	1
0.00344	14	126	18.9039	14	12.6265	1	1	1	1
0.00346	14	140	18.8825	14	12.7389	0.999861	1	1	1
0.00348	14	140	19.2131	14	13.1422	0.999583	1	1	1
0.0035	14	140	19.0886	14	12.9514	0.999861	1	1	1
0.00352	14	126	18.8222	14	12.4804	1	1	1	1
0.00354	14	126	19.11	14	13.0508	1	1	1	1
0.00356	14	126	19.425	14	13.5603	1	1	1	1
0.00358	14	126	19.3122	14	13.2193	1	1	1	1
0.0036	14	126	18.9972	14	12.7532	1	1	1	1
0.00362	14	126	19.3356	14	13.3002	1	1	1	1
0.00364	14	140	19.1781	14	13.1953	0.999861	1	1	1
0.00366	14	140	19.0225	14	12.7784	0.999861	1	1	1
0.00368	14	126	19.4094	14	13.4537	1	1	1	1
0.0037	14	140	19.5456	14	13.3595	0.999722	1	1	1
0.00372	14	140	19.6564	14	13.695	0.999861	1	1	1
0.00374	14	126	19.4717	14	13.3716	1	1	1	1
0.00376	14	126	19.4328	14	13.6453	1	1	1	1
0.00378	14	140	19.8022	14	14.009	0.999722	1	1	1
0.0038	14	140	19.6467	14	13.6243	0.999722	1	1	1
0.00382	14	140	19.3958	14	13.2892	0.999861	1	1	1
0.00384	14	126	19.6272	14	13.4858	1	1	1	1
0.00386	14	140	19.3958	14	13.4034	0.999861	1	1	1
0.00388	14	140	19.4969	14	13.492	0.999861	1	1	1
0.0039	14	126	19.5689	14	13.6821	1	1	1	1
0.00392	14	140	19.8975	14	14.2499	0.999861	1	1	1
0.00394	14	140	19.9694	14	14.1825	0.999722	1	1	1
0.00396	14	126	19.9461	14	14.0167	1	1	1	1
0.00398	14	140	19.7478	14	13.9536	0.999722	1	1	1
0.004	14	140	19.6447	14	13.662	0.999583	1	1	1
0.00402	14	126	20.1133	14	14.3866	1	1	1	1
0.00404	14	140	19.8761	14	13.9821	0.999722	1	1	1
0.00406	14	126	19.9889	14	14.2567	1	1	1	1
0.00408	14	140	20.3447	14	14.7317	0.999583	1	1	1
0.0041	14	140	20.1425	14	14.462	0.999861	1	1	1
0.00412	14	140	20.4147	14	14.7678	0.999583	1	1	1
0.00414	14	140	20.4478	14	14.9687	0.999722	1	1	1
0.00416	14	140	20.0939	14	14.2217	0.999722	1	1	1
0.00418	14	126	20.2767	14	14.8169	1	1	1	1
0.0042	14	140	20.1697	14	14.5368	0.999861	1	1	1
0.00422	14	140	20.1503	14	14.2844	0.999861	1	1	1
0.00424	14	140	20.5178	14	15.0834	0.999722	1	1	1
0.00426	14	140	20.3603	14	14.4053	0.999861	1	1	1
0.00428	14	140	20.5081	14	15.0198	0.999583	1	1	1
0.0043	14	140	20.4342	14	14.5943	0.999861	1	1	1
0.00432	14	140	20.2047	14	14.2073	0.999861	1	1	1
0.00434	14	140	20.5956	14	15.0929	0.999722	1	1	1
0.00436	14	126	20.4361	14	14.6335	1	1	1	1
0.00438	14	140	20.2242	14	14.6238	0.999583	1	1	1
0.0044	14	126	20.1989	14	14.4708	1	1	1	1
0.00442	14	140	20.7861	14	15.2493	0.999722	1	1	1
0.00444	14	140	20.5275	14	14.871	0.999861	1	1	1
0.00446	14	140	20.6033	14	15.0461	0.999722	1	1	1
0.00448	14	140	20.965	14	15.4811	0.999722	1	1	1
0.0045	14	126	20.6539	14	15.2165	1	1	1	1
0.00452	14	140	20.7219	14	15.1695	0.999861	1	1	1
0.00454	14	140	20.9883	14	15.6716	0.999444	1	1	1
0.00456	14	140	21.1128	14	15.3571	0.999722	1	1	1
0.00458	14	140	21.0681	14	15.8854	0.999306	1	1	1
0.0046	14	140	21.1419	14	15.7282	0.999861	1	1	1
0.00462	14	140	21.0058	14	15.8529	0.999583	1	1	1
0.00464	14	140	21.0992	14	16.2025	0.999028	1	1	1
0.00466	14	126	20.6967	14	15.1582	1	1	1	1
0.00468	14	140	20.9883	14	15.6176	0.999722	1	1	1
0.0047	14	140	21.0272	14	15.6211	0.999722	1	1	1
0.00472	14	140	21.2372	14	15.9334	0.999722	1	1	1
0.00474	14	140	21.3869	14	16.1123	0.999861	1	1	1
0.00476	14	140	21.4336	14	16.2037	0.999583	1	1	1
0.00478	14	126	21.035	14	15.43	1	1	1	1
0.0048	14	140	21.2061	14	15.7603	0.999444	1	1	1
0.00482	14	140	21.4783	14	16.1351	0.999722	1	1	1
0.00484	14	140	21.0778	14	15.5318	0.999722	1	1	1
0.00486	14	140	21.2878	14	16.2874	0.998889	1	1	1
0.00488	14	140	21.2431	14	16.1032	0.999306	1	1	1
0.0049	14	140	21.6261	14	16.4575	0.999167	1	1	1
0.00492	14	140	21.4919	14	16.0857	0.999583	1	1	1
0.00494	14	140	21.595	14	16.2623	0.999722	1	1	1
0.00496	14	140	21.4686	14	16.3499	0.999306	1	1	1
0.00498	14	140	21.7972	14	16.6475	0.999167	1	1	1
0.005	14	140	21.7097	14	16.6056	0.999861	1	1	1
0.00502	14	140	21.4628	14	16.5339	0.999444	1	1	1
0.00504	14	140	21.6669	14	16.5154	0.999583	1	1	1
0.00506	14	140	21.6708	14	16.5037	0.999583	1	1	1
0.00508	14	140	21.8964	14	16.8699	0.999861	1	1	1
0.0051	14	140	21.8614	14	16.4502	0.999583	1	1	1
0.00512	14	140	21.5853	14	16.199	0.999861	1	1	1
0.00514	14	140	21.4103	14	16.0965	0.999028	1	1	1
0.00516	14	140	22.1744	14	16.9157	0.999722	1	1	1
0.00518	14	140	21.7525	14	16.4208	0.999306	1	1	1
0.0052	14	140	22.0442	14	17.0764	0.999861	1	1	1
0.00522	14	140	22.505	14.0003	17.6401	0.999444	1	1	1
0.00524	14	140	22.0422	14.0003	16.868	0.999444	1	1	1
0.00526	14	140	22.0675	14	16.9164	0.999583	1	1	1
0.00528	14	140	22.3903	14	17.2264	0.999028	1	1	1
0.0053	14	140	22.1375	14	17.1674	0.999028	1	1	1
0.00532	14	140	21.9664	14	17.0059	0.999028	1	1	1
0.00534	14	140	22.225	14.0001	17.2705	0.999722	1	1	1
0.00536	14	140	22.2425	14.0001	17.2677	0.999306	1	1	1
0.00538	14	140	22.1783	14	16.954	0.999444	1	1	1
0.0054	14	140	22.1997	14	17.2392	0.999028	1	1	1
0.00542	14	140	22.2483	14.0012	17.3381	0.999167	1	1	1
0.00544	14	140	22.5244	14	17.3834	0.999167	1	1	1
0.00546	14	140	22.5711	14.0001	17.4309	0.999444	1	1	1
0.00548	14	140	22.1764	14	17.3823	0.999028	1	1	1
0.0055	14	140	22.9483	14.0001	18.1989	0.998889	1	1	1
0.00552	14	140	22.5594	14.0001	17.5114	0.998889	1	1	1
0.00554	14	140	22.6547	14.0023	17.7559	0.999861	1	1	1
0.00556	14	140	22.5769	14	17.7676	0.999583	1	1	1
0.00558	14	140	22.5069	14	17.7261	0.999306	1	1	1
0.0056	14	140	22.7558	14.0001	17.8319	0.999306	1	1	1
0.00562	14	140	22.3825	14.0001	17.3153	0.999583	1	1	1
0.00564	14	140	22.8297	14.0021	18.0852	0.999583	1	1	1
0.00566	14	140	22.6469	14.0016	17.5283	0.999306	1	1	1
0.00568	14	140	23.1603	14.0005	18.5295	0.999028	1	1	1
0.0057	14	140	22.4331	14	17.1833	0.999028	1	1	1
0.00572	14	140	23.0319	14.0007	18.2525	0.999028	1	1	1
