p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0	14	14	14	14	0	1	1	1	1
2e-05	14	42	14.0311	14	0.932815	1	1	1	1
4e-05	14	42	14.0583	14	1.27669	1	1	1	1
6e-05	14	42	14.0894	14	1.58001	1	1	1	1
8e-05	14	42	14.1283	14	1.89126	1	1	1	1
0.0001	14	70	14.14	14	2.02933	1	1	1	1
0.00012	14	70	14.1594	14	2.20784	1	1	1	1
0.00014	14	42	14.1711	14	2.18216	1	1	1	1
0.00016	14	70	14.2411	14	2.66993	1	1	1	1
0.00018	14	42	14.245	14	2.60768	1	1	1	1
0.0002	14	70	14.2061	14	2.43853	1	1	1	1
0.00022	14	42	14.2956	14	2.8615	1	1	1	1
0.00024	14	70	14.315	14	3.06172	1	1	1	1
0.00026	14	42	14.3306	14	3.02428	1	1	1	1
0.00028	14	42	14.4083	14	3.35658	1	1	1	1
0.0003	14	70	14.4083	14	3.54588	1	1	1	1
0.00032	14	70	14.4083	14	3.48392	1	1	1	1
0.00034	14	70	14.3656	14	3.24615	1	1	1	1
0.00036	14	70	14.4239	14	3.48206	1	1	1	1
0.00038	14	70	14.5833	14	4.21133	1	1	1	1
0.0004	14	70	14.5017	14	3.96926	1	1	1	1
0.00042	14	70	14.5678	14	4.08219	1	1	1	1
0.00044	14	70	14.5794	14	4.14673	1	1	1	1
0.00046	14	70	14.6144	14	4.33439	1	1	1	1
0.00048	14	70	14.7	14	4.59021	1	1	1	1
0.0005	14	70	14.6572	14	4.41528	1	1	1	1
0.00052	14	70	14.7856	14	4.8084	1	1	1	1
0.00054	14	70	14.6183	14	4.19337	1	1	1	1
0.00056	14	98	14.8556	14	5.06153	1	1	1	1
0.00058	14	70	14.7156	14	4.65847	1	1	1	1
0.0006	14	70	14.8322	14	4.89043	1	1	1	1
0.00062	14	70	14.9139	14	5.08356	1	1	1	1
0.00064	14	70	14.9022	14	5.11766	1	1	1	1
0.00066	14	70	14.84	14	4.95546	1	1	1	1
0.00068	14	98	14.91	14	5.2838	1	1	1	1
0.0007	14	70	14.9956	14	5.35039	1	1	1	1
0.00072	14	70	14.9917	14	5.38155	1	1	1	1
0.00074	14	70	14.8944	14	5.14025	1	1	1	1
